1	150	1.5	400	17.65
2	150	0	400	17.36
3	0	0	100	1.88
4	0	1.5	400	7.94
5	150	0	100	7.66
6	150	1.5	100	10.78
7	0	0	100	1.235
8	0	0	400	4.35
9	0	1.5	100	3.456
10	150	0	400	13.66
11	0	1.5	400	8.64
12	150	1.5	400	16.53
13	0	1.5	100	4.68
14	150	1.5	400	18.98
15	0	1.5	400	8.93
16	0	0	100	2.35
17	0	1.5	100	6.03
18	150	0	400	15.22
19	0	0	400	3.66
20	0	0	400	6.28
21	150	0	100	12.33
22	150	0	100	8.53
23	150	1.5	100	8.93
24	150	1.5	100	11.96
1	85	1.3	175	38.36
2	55	1.3	325	34.35
3	85	0.9	325	34.49
4	85	1.3	325	34.95
5	85	0.9	175	39.69
6	55	0.9	175	46.77
7	100	1.1	250	37.27
8	85	0.9	325	36.98
9	100	1.1	250	35.35
10	55	0.9	175	48.02
11	70	1.1	250	52.65
12	55	1.3	325	31.23
13	70	1.1	100	28.63
14	85	1.3	325	36.95
15	55	1.3	175	45.15
16	70	1.1	250	51.55
17	70	1.5	250	41.66
18	85	1.3	175	37.63
19	55	1.3	175	43.61
20	85	0.9	175	40.65
21	70	1.1	250	50.63
22	70	0.7	250	41.77
23	70	1.5	250	40.25
24	70	1.1	100	29.35
25	70	1.1	400	28.25
26	70	1.1	250	51.67
27	55	0.9	325	42.66
28	40	1.1	250	39.35
29	55	0.9	325	43.64
30	70	1.1	250	53.66
31	70	0.7	250	43.54
32	70	1.1	400	27.33
33	70	1.1	250	53.66
34	40	1.1	250	37.66
